table,column
galaxies,u
galaxies,g
galaxies,r
galaxies,i
galaxies,z
galaxies,petroRad_r
galaxies,redshift
specobj,z
photoobj,obj
photoobj,flags
photoobj,rowc
photoobj,rowcErr
photoobj,colc
photoobj,colcErr
photoobj,rowv
photoobj,rowvErr
photoobj,colv
photoobj,colvErr
photoobj,rowc_u
photoobj,rowc_g
photoobj,rowc_r
photoobj,rowc_i
photoobj,rowc_z
photoobj,rowcErr_u
photoobj,rowcErr_g
photoobj,rowcErr_r
photoobj,rowcErr_i
photoobj,rowcErr_z
photoobj,colc_u
photoobj,colc_g
photoobj,colc_r
photoobj,colc_i
photoobj,colc_z
photoobj,colcErr_u
photoobj,colcErr_g
photoobj,colcErr_r
photoobj,colcErr_i
photoobj,colcErr_z
photoobj,sky_u
photoobj,sky_g
photoobj,sky_r
photoobj,sky_i
photoobj,sky_z
photoobj,skyIvar_u
photoobj,skyIvar_g
photoobj,skyIvar_r
photoobj,skyIvar_i
photoobj,skyIvar_z
photoobj,psfMag_u
photoobj,psfMag_g
photoobj,psfMag_r
photoobj,psfMag_i
photoobj,psfMag_z
photoobj,psfMagErr_u
photoobj,psfMagErr_g
photoobj,psfMagErr_r
photoobj,psfMagErr_i
photoobj,psfMagErr_z
photoobj,fiberMag_u
photoobj,fiberMag_g
photoobj,fiberMag_r
photoobj,fiberMag_i
photoobj,fiberMag_z
photoobj,fiberMagErr_u
photoobj,fiberMagErr_g
photoobj,fiberMagErr_r
photoobj,fiberMagErr_i
photoobj,fiberMagErr_z
photoobj,fiber2Mag_u
photoobj,fiber2Mag_g
photoobj,fiber2Mag_r
photoobj,fiber2Mag_i
photoobj,fiber2Mag_z
photoobj,fiber2MagErr_u
photoobj,fiber2MagErr_g
photoobj,fiber2MagErr_r
photoobj,fiber2MagErr_i
photoobj,fiber2MagErr_z
photoobj,petroMag_u
photoobj,petroMag_g
photoobj,petroMag_r
photoobj,petroMag_i
photoobj,petroMag_z
photoobj,petroMagErr_u
photoobj,petroMagErr_g
photoobj,petroMagErr_r
photoobj,petroMagErr_i
photoobj,petroMagErr_z
photoobj,psfFlux_u
photoobj,psfFlux_g
photoobj,psfFlux_r
photoobj,psfFlux_i
photoobj,psfFlux_z
