"id","value","column"
2616347,"(-9999.001, 19.264]","galaxies.u"
2616348,"(19.264, 20.095]","galaxies.u"
2616349,"(20.095, 21.233]","galaxies.u"
2616350,"(21.233, 22.228]","galaxies.u"
2616351,"(22.228, 22.76]","galaxies.u"
2616352,"(22.76, 23.246]","galaxies.u"
2616353,"(23.246, 23.808]","galaxies.u"
2616354,"(23.808, 24.54]","galaxies.u"
2616355,"(24.54, 25.475]","galaxies.u"
2616356,"(25.475, 33.45]","galaxies.u"
2616357,"(-9999.001, 17.752]","galaxies.g"
2616358,"(17.752, 18.384]","galaxies.g"
2616359,"(18.384, 19.341]","galaxies.g"
2616360,"(19.341, 20.773]","galaxies.g"
2616361,"(20.773, 21.445]","galaxies.g"
2616362,"(21.445, 21.871]","galaxies.g"
2616363,"(21.871, 22.194]","galaxies.g"
2616364,"(22.194, 22.527]","galaxies.g"
2616365,"(22.527, 22.998]","galaxies.g"
2616366,"(22.998, 32.297]","galaxies.g"
2616367,"(-9999.001, 16.928]","galaxies.r"
2616368,"(16.928, 17.496]","galaxies.r"
2616369,"(17.496, 18.053]","galaxies.r"
2616370,"(18.053, 19.129]","galaxies.r"
2616371,"(19.129, 19.919]","galaxies.r"
2616372,"(19.919, 20.352]","galaxies.r"
2616373,"(20.352, 20.659]","galaxies.r"
2616374,"(20.659, 21.022]","galaxies.r"
2616375,"(21.022, 21.648]","galaxies.r"
2616376,"(21.648, 33.846]","galaxies.r"
2616377,"(-9999.001, 16.506]","galaxies.i"
2616378,"(16.506, 17.063]","galaxies.i"
2616379,"(17.063, 17.545]","galaxies.i"
2616380,"(17.545, 18.473]","galaxies.i"
2616381,"(18.473, 19.059]","galaxies.i"
2616382,"(19.059, 19.43]","galaxies.i"
2616383,"(19.43, 19.682]","galaxies.i"
2616384,"(19.682, 19.973]","galaxies.i"
2616385,"(19.973, 20.634]","galaxies.i"
2616386,"(20.634, 32.102]","galaxies.i"
2616387,"(-9999.001, 16.189]","galaxies.z"
2616388,"(16.189, 16.753]","galaxies.z"
2616389,"(16.753, 17.256]","galaxies.z"
2616390,"(17.256, 18.074]","galaxies.z"
2616391,"(18.074, 18.61]","galaxies.z"
2616392,"(18.61, 18.97]","galaxies.z"
2616393,"(18.97, 19.227]","galaxies.z"
2616394,"(19.227, 19.497]","galaxies.z"
2616395,"(19.497, 19.933]","galaxies.z"
2616396,"(19.933, 30.017]","galaxies.z"
2616397,"(0.00489, 1.882]","galaxies.petroRad_r"
2616398,"(1.882, 2.361]","galaxies.petroRad_r"
2616399,"(2.361, 2.759]","galaxies.petroRad_r"
2616400,"(2.759, 2.97]","galaxies.petroRad_r"
2616401,"(2.97, 3.337]","galaxies.petroRad_r"
2616402,"(3.337, 3.856]","galaxies.petroRad_r"
2616403,"(3.856, 4.55]","galaxies.petroRad_r"
2616404,"(4.55, 5.596]","galaxies.petroRad_r"
2616405,"(5.596, 7.359]","galaxies.petroRad_r"
2616406,"(7.359, 258.486]","galaxies.petroRad_r"
2616407,"(-0.011200000000000002, 0.0781]","galaxies.redshift"
2616408,"(0.0781, 0.126]","galaxies.redshift"
2616409,"(0.126, 0.201]","galaxies.redshift"
2616410,"(0.201, 0.333]","galaxies.redshift"
2616411,"(0.333, 0.438]","galaxies.redshift"
2616412,"(0.438, 0.499]","galaxies.redshift"
2616413,"(0.499, 0.549]","galaxies.redshift"
2616414,"(0.549, 0.609]","galaxies.redshift"
2616415,"(0.609, 0.72]","galaxies.redshift"
2616416,"(0.72, 2.001]","galaxies.redshift"
